INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q8	11	3	1	12	3	9	7	10	0	5	23	109	203	363
q11	26	3	1	12	3	9	1	1	0	1	8	28	24	65
q14	37	3	3	24	6	18	1	4	0	10	12	56	29	116
q21	15	1	12	29	0	26	5	1	0	3	1	2	26	38
