INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q8	0	2	1	2	1	1	5	10	0	0	7	38	129	190
q11	0	2	1	2	1	1	0	1	0	0	1	4	1	7
q14	0	2	1	2	1	1	1	0	0	0	1	3	1	6
q17	0	2	1	2	1	1	1	0	0	0	1	3	1	6
q20	0	2	1	2	1	1	0	1	0	0	1	2	1	5
q23	0	2	1	2	1	1	0	1	0	0	1	2	2	6
q26	0	2	1	2	1	1	1	1	0	0	0	2	1	5
q29	0	2	1	2	1	1	0	0	0	0	0	2	1	4
q32	0	2	1	2	1	1	0	1	0	0	0	2	1	4
q35	0	2	1	2	1	1	0	1	0	0	0	2	1	4
q38	0	2	1	2	1	1	0	0	0	0	1	1	2	4
q41	0	2	1	2	1	1	0	0	0	0	0	2	2	4
q44	0	2	1	2	1	1	0	0	0	0	0	1	1	2
q47	0	2	1	2	1	1	0	0	0	0	0	2	1	3
q50	0	2	1	2	1	1	0	0	0	0	1	2	1	4
q53	0	2	1	2	1	1	0	0	0	0	1	2	1	4
q56	0	2	1	2	1	1	0	1	0	0	0	2	2	5
q59	0	2	1	2	1	1	0	1	0	0	0	1	1	3
q62	0	2	1	2	1	1	0	0	0	0	1	1	1	3
q65	10	2	6	6	0	6	3	1	0	3	1	4	6	19
q108	4	3	2	2	0	2	1	1	0	0	0	1	2	5
