$name	$title
"Carrie Fisher"	"Star Wars: Episode IV - A New Hope"	
"Carrie Fisher"	"Star Wars: Episode V - The Empire Strikes Back"	
"Carrie Fisher"	"Star Wars: Episode VI - Return of the Jedi"	
"Carrie Fisher"	"Star Wars: Episode VIII - The Last Jedi"	
"Daisy Ridley"	"Star Wars: Episode IX - The Rise of Skywalker"	
"Daisy Ridley"	"Star Wars: Episode VII - The Force Awakens"	
"Daisy Ridley"	"Star Wars: Episode VIII - The Last Jedi"	
"Felicity Jones"	"Rogue One: A Star Wars Story"	
"Natalie Portman"	"Star Wars: Episode I - The Phantom Menace"	
"Natalie Portman"	"Star Wars: Episode II - Attack of the Clones"	
"Natalie Portman"	"Star Wars: Episode III - Revenge of the Sith"	
