INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q8	0	2	1	2	2	0	6	8	0	0	0	3	0	17
q11	0	2	1	2	2	0	0	1	0	0	0	0	0	1
q14	0	2	1	2	2	0	0	1	0	0	0	0	0	1
q17	0	2	1	2	2	0	0	0	0	0	0	0	0	0
q20	0	2	1	2	2	0	0	1	0	0	0	0	0	1
q23	0	2	1	2	2	0	0	0	0	0	0	0	0	0
q26	0	2	1	2	2	0	0	0	0	0	0	1	0	1
q29	0	2	1	2	2	0	0	1	0	0	0	0	0	1
q32	0	2	1	2	2	0	0	1	0	0	0	0	0	1
q35	0	2	1	2	2	0	0	0	0	0	0	0	0	0
q38	0	2	1	2	2	0	1	0	0	0	0	0	0	1
q41	0	2	1	2	2	0	1	1	0	0	0	0	0	2
q44	0	2	1	2	2	0	0	0	0	0	0	0	0	0
q47	0	2	1	2	2	0	1	1	0	0	0	0	0	2
