$movie	$title	$year
<http://www.imdb.com/title/tt0076759>	"Star Wars: Episode IV - A New Hope"	"1977"	
<http://www.imdb.com/title/tt0080684>	"Star Wars: Episode V - The Empire Strikes Back"	"1980"	
<http://www.imdb.com/title/tt0086190>	"Star Wars: Episode VI - Return of the Jedi"	"1983"	
<http://www.imdb.com/title/tt0120915>	"Star Wars: Episode I - The Phantom Menace"	"1999"	
<http://www.imdb.com/title/tt0121765>	"Star Wars: Episode II - Attack of the Clones"	"2002"	
<http://www.imdb.com/title/tt0121766>	"Star Wars: Episode III - Revenge of the Sith"	"2005"	
<http://www.imdb.com/title/tt2488496>	"Star Wars: Episode VII - The Force Awakens"	"2015"	
<http://www.imdb.com/title/tt2527336>	"Star Wars: Episode VIII - The Last Jedi"	"2017"	
<http://www.imdb.com/title/tt2527338>	"Star Wars: Episode IX - The Rise of Skywalker"	"2019"	
<http://www.imdb.com/title/tt3748528>	"Rogue One: A Star Wars Story"	"2016"	
