INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q8	0	2	1	2	1	1	5	6	0	1	4	32	126	174
q11	0	2	1	2	1	1	0	0	0	0	1	5	1	7
q14	0	2	1	2	1	1	0	1	0	0	1	3	1	6
q17	0	2	1	2	1	1	0	1	0	0	1	3	1	6
q20	0	2	1	2	1	1	0	0	0	0	1	3	1	5
q23	0	2	1	2	1	1	1	0	0	0	1	2	1	5
q26	0	2	1	2	1	1	1	1	0	0	1	3	1	7
q29	0	2	1	2	1	1	0	1	0	0	0	2	1	4
q32	0	2	1	2	1	1	0	0	0	0	1	2	1	4
q35	0	2	1	2	1	1	0	1	0	0	1	1	1	4
q38	0	2	1	2	1	1	0	0	0	0	1	1	2	4
q41	0	2	1	2	1	1	0	0	0	0	1	1	1	3
q44	0	2	1	2	1	1	0	1	0	0	0	1	1	4
q47	0	2	1	2	1	1	0	0	0	0	2	1	1	4
q50	0	2	1	2	1	1	0	0	0	0	1	1	1	3
q53	0	2	1	2	1	1	0	1	0	0	0	1	1	3
q56	0	2	1	2	1	1	1	1	0	0	0	2	1	5
q59	0	2	1	2	1	1	0	1	0	0	0	2	1	4
q62	0	2	1	2	1	1	0	0	0	0	1	2	1	4
q65	0	2	1	2	1	1	0	0	0	0	0	2	1	3
q68	0	2	1	2	1	1	0	0	0	0	1	1	1	3
q71	0	2	1	2	1	1	0	0	0	0	0	1	1	2
q74	0	2	1	2	1	1	1	1	0	0	0	2	1	5
q77	0	2	1	2	1	1	1	1	0	0	0	1	1	4
q80	0	2	1	2	1	1	0	0	0	0	0	2	1	3
q83	0	2	1	2	1	1	0	0	0	0	1	1	1	3
q86	0	2	1	2	1	1	0	0	0	0	1	2	1	4
q89	0	2	1	2	1	1	0	1	0	0	0	1	1	3
q92	0	2	1	2	1	1	0	0	0	0	2	1	1	4
q95	0	2	1	2	1	1	0	0	0	0	1	1	2	4
q98	0	2	1	2	1	1	0	0	0	0	0	1	1	3
q101	0	2	1	2	1	1	0	0	0	0	0	2	2	5
q104	0	2	1	2	1	1	0	1	0	0	0	2	2	5
q107	0	2	1	2	1	1	0	0	0	0	1	1	1	3
q110	0	2	1	2	1	1	0	0	0	0	1	2	2	5
q113	0	2	1	2	1	1	0	0	0	0	0	2	2	4
q116	0	2	1	2	1	1	1	0	0	0	0	2	1	4
q119	0	2	1	2	1	1	1	1	0	0	0	1	1	4
q122	0	2	1	2	1	1	0	0	0	0	0	1	1	2
q125	0	2	1	2	1	1	0	0	0	0	0	1	1	2
q128	0	2	1	2	1	1	0	1	0	0	0	1	1	3
q131	0	2	1	2	1	1	0	0	0	0	1	1	2	4
