INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q8	0	2	1	0	0	0	4	6	0	0	0	3	0	13
q11	0	2	1	0	0	0	1	0	0	0	0	0	0	1
q14	0	2	1	0	0	0	0	0	0	0	0	0	0	0
q17	0	2	1	0	0	0	1	0	0	0	0	0	0	1
q20	0	2	1	0	0	0	1	0	0	0	0	0	0	1
q23	0	2	1	0	0	0	1	0	0	0	0	0	0	1
q26	0	2	1	0	0	0	0	0	0	0	0	0	0	0
q29	0	2	1	0	0	0	0	1	0	0	0	0	0	1
q32	0	2	1	0	0	0	0	1	0	0	0	0	0	1
q35	0	2	1	0	0	0	0	0	0	0	0	0	0	0
q38	0	2	1	0	0	0	1	0	0	0	0	0	0	1
q41	0	2	1	2	1	1	1	1	0	0	6	31	121	161
q44	0	2	1	2	1	1	0	1	0	0	1	4	2	8
q47	0	2	1	2	1	1	0	0	0	0	1	3	1	5
q50	0	2	1	2	1	1	1	1	0	0	0	4	1	7
q53	0	2	1	2	1	1	0	0	0	0	1	2	2	5
q56	0	2	1	2	1	1	0	0	1	0	0	2	1	4
q59	0	2	1	2	1	1	0	0	0	0	1	2	2	5
q62	0	2	1	2	1	1	0	1	0	0	0	2	1	4
