INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	38	4	3	24	20	4	5	12	1	5	33	53	145	256
q16	4	4	3	8	7	1	1	4	0	0	1	7	4	17
