INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	18	4	3	20	12	8	11	21	0	6	40	81	206	367
q16	18	2	1	10	2	8	0	1	1	0	5	15	3	25
q19	18	4	3	20	12	8	1	5	0	1	8	18	4	39
q26	18	4	3	20	12	8	1	3	0	1	7	17	7	37
q33	18	4	3	20	12	8	1	8	0	1	14	18	6	48
q40	18	4	3	20	12	8	1	2	0	1	6	16	6	32
q47	18	4	3	20	12	8	1	2	0	1	4	11	5	25
q54	18	4	3	20	12	8	0	2	0	0	4	10	4	21
q61	18	4	3	20	12	8	1	1	0	1	5	11	5	24
q68	18	4	3	20	12	8	0	1	0	1	6	10	6	24
q75	18	2	1	10	2	8	0	1	0	0	2	7	4	14
q78	18	2	1	10	2	8	0	2	0	0	2	7	3	14
q81	18	2	1	10	2	8	1	1	0	0	2	7	4	16
q84	18	2	1	10	2	8	0	0	0	1	1	15	4	21
