$actorName	$character
"Alec Guinness"	<https://www.starwars.com/databank/luke-skywalker>	
"Alec Guinness"	<https://www.starwars.com/databank/luke-skywalker>	
"Harrison Ford"	<https://www.starwars.com/databank/luke-skywalker>	
"George Lucas"	<https://www.starwars.com/databank/luke-skywalker>	
"Ewan McGregor"	<https://www.starwars.com/databank/luke-skywalker>	
"Natalie Portman"	<https://www.starwars.com/databank/luke-skywalker>	
"Carrie Fisher"	<https://www.starwars.com/databank/luke-skywalker>	
"Mark Hamill"	<https://www.starwars.com/databank/luke-skywalker>	
"James Earl Jones"	<https://www.starwars.com/databank/luke-skywalker>	
"Christopher Lee"	<https://www.starwars.com/databank/luke-skywalker>	
"Liam Neeson"	<https://www.starwars.com/databank/luke-skywalker>	
"Billy Dee Williams"	<https://www.starwars.com/databank/luke-skywalker>	
"John Williams"	<https://www.starwars.com/databank/luke-skywalker>	
"Jake Lloyd"	<https://www.starwars.com/databank/luke-skywalker>	
"J.J. Abrams"	<https://www.starwars.com/databank/luke-skywalker>	
"Hayden Christensen"	<https://www.starwars.com/databank/luke-skywalker>	
"Rian Johnson"	<https://www.starwars.com/databank/luke-skywalker>	
"Felicity Jones"	<https://www.starwars.com/databank/luke-skywalker>	
"Irvin Kershner"	<https://www.starwars.com/databank/luke-skywalker>	
"Richard Marquand"	<https://www.starwars.com/databank/luke-skywalker>	
"Spencer Wilding"	<https://www.starwars.com/databank/luke-skywalker>	
"Gareth Edwards"	<https://www.starwars.com/databank/luke-skywalker>	
"Adam Driver"	<https://www.starwars.com/databank/luke-skywalker>	
"John Boyega"	<https://www.starwars.com/databank/luke-skywalker>	
"Daisy Ridley"	<https://www.starwars.com/databank/luke-skywalker>	
"Alec Guinness"	<https://www.starwars.com/databank/rey>	
"Harrison Ford"	<https://www.starwars.com/databank/rey>	
"George Lucas"	<https://www.starwars.com/databank/rey>	
"Ewan McGregor"	<https://www.starwars.com/databank/rey>	
"Natalie Portman"	<https://www.starwars.com/databank/rey>	
"Carrie Fisher"	<https://www.starwars.com/databank/rey>	
"Mark Hamill"	<https://www.starwars.com/databank/rey>	
"James Earl Jones"	<https://www.starwars.com/databank/rey>	
"Christopher Lee"	<https://www.starwars.com/databank/rey>	
"Liam Neeson"	<https://www.starwars.com/databank/rey>	
"Billy Dee Williams"	<https://www.starwars.com/databank/rey>	
"John Williams"	<https://www.starwars.com/databank/rey>	
"Jake Lloyd"	<https://www.starwars.com/databank/rey>	
"J.J. Abrams"	<https://www.starwars.com/databank/rey>	
"Hayden Christensen"	<https://www.starwars.com/databank/rey>	
"Rian Johnson"	<https://www.starwars.com/databank/rey>	
"Felicity Jones"	<https://www.starwars.com/databank/rey>	
"Irvin Kershner"	<https://www.starwars.com/databank/rey>	
"Richard Marquand"	<https://www.starwars.com/databank/rey>	
"Spencer Wilding"	<https://www.starwars.com/databank/rey>	
"Gareth Edwards"	<https://www.starwars.com/databank/rey>	
"Adam Driver"	<https://www.starwars.com/databank/rey>	
"John Boyega"	<https://www.starwars.com/databank/rey>	
"Daisy Ridley"	<https://www.starwars.com/databank/rey>	
"Alec Guinness"	<https://www.starwars.com/databank/anakin-skywalker>	
"Harrison Ford"	<https://www.starwars.com/databank/anakin-skywalker>	
"George Lucas"	<https://www.starwars.com/databank/anakin-skywalker>	
"Ewan McGregor"	<https://www.starwars.com/databank/anakin-skywalker>	
"Natalie Portman"	<https://www.starwars.com/databank/anakin-skywalker>	
"Carrie Fisher"	<https://www.starwars.com/databank/anakin-skywalker>	
"Mark Hamill"	<https://www.starwars.com/databank/anakin-skywalker>	
"James Earl Jones"	<https://www.starwars.com/databank/anakin-skywalker>	
"Christopher Lee"	<https://www.starwars.com/databank/anakin-skywalker>	
"Liam Neeson"	<https://www.starwars.com/databank/anakin-skywalker>	
"Billy Dee Williams"	<https://www.starwars.com/databank/anakin-skywalker>	
"John Williams"	<https://www.starwars.com/databank/anakin-skywalker>	
"Jake Lloyd"	<https://www.starwars.com/databank/anakin-skywalker>	
"J.J. Abrams"	<https://www.starwars.com/databank/anakin-skywalker>	
"Hayden Christensen"	<https://www.starwars.com/databank/anakin-skywalker>	
"Rian Johnson"	<https://www.starwars.com/databank/anakin-skywalker>	
"Felicity Jones"	<https://www.starwars.com/databank/anakin-skywalker>	
"Irvin Kershner"	<https://www.starwars.com/databank/anakin-skywalker>	
"Richard Marquand"	<https://www.starwars.com/databank/anakin-skywalker>	
"Spencer Wilding"	<https://www.starwars.com/databank/anakin-skywalker>	
"Gareth Edwards"	<https://www.starwars.com/databank/anakin-skywalker>	
"Adam Driver"	<https://www.starwars.com/databank/anakin-skywalker>	
"John Boyega"	<https://www.starwars.com/databank/anakin-skywalker>	
"Daisy Ridley"	<https://www.starwars.com/databank/anakin-skywalker>	
