INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q7	11	3	1	9	3	6	5	8	0	3	16	75	144	254
q10	37	3	3	18	6	12	1	3	0	9	12	45	23	97
