INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q8	0	4	3	3	3	0	9	9	1	0	0	1	0	20
q15	0	2	1	3	3	0	1	0	0	0	0	0	0	1
q18	0	2	1	3	3	0	0	1	0	0	0	0	0	1
q21	0	2	1	3	3	0	0	0	0	0	0	0	0	0
q24	0	2	1	3	3	0	0	1	0	0	0	0	0	1
q27	0	2	1	3	3	0	0	1	0	0	0	0	0	1
q30	0	2	1	3	3	0	0	1	0	0	0	0	0	1
q33	0	2	1	3	3	0	0	0	0	0	0	0	0	0
q36	0	2	1	3	3	0	0	0	0	0	0	0	0	0
q39	0	2	1	3	3	0	0	0	0	0	0	0	0	0
q42	0	2	1	3	3	0	0	0	0	0	0	0	0	0
q45	0	2	1	3	3	0	0	0	0	0	0	0	0	0
q48	0	2	1	3	3	0	1	0	0	0	0	0	0	1
