INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	18	2	1	8	5	3	5	8	0	2	7	47	129	200
q12	0	4	3	8	8	0	1	4	0	0	0	0	0	5
